Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.05125, 0, 1, 1, 0, 0, 0, 1, 0
0.05130, 0, 0, 0, 1, 0, 0, 0, 1
0.05135, 0, 1, 0, 1, 0, 0, 0, 1
0.05140, 0, 0, 1, 1, 0, 0, 1, 1
0.05165, 0, 0, 0, 1, 0, 0, 0, 1
0.05170, 1, 1, 1, 0, 1, 0, 1, 0
0.05175, 1, 1, 0, 0, 1, 0, 0, 0
0.05180, 0, 0, 0, 0, 0, 0, 0, 0
0.05220, 0, 1, 0, 0, 0, 0, 0, 0
0.05225, 0, 0, 1, 0, 0, 0, 1, 0
0.05230, 0, 0, 0, 1, 0, 0, 0, 1
0.05235, 0, 1, 0, 1, 0, 0, 0, 1
0.05240, 0, 0, 1, 1, 0, 0, 1, 1
0.05265, 1, 0, 0, 1, 1, 0, 0, 1
0.05270, 0, 1, 1, 0, 0, 0, 1, 0
0.05275, 0, 0, 1, 0, 0, 0, 1, 0
0.05280, 0, 0, 0, 0, 0, 0, 0, 0
0.05320, 0, 1, 0, 0, 0, 0, 0, 0
0.05325, 0, 0, 1, 0, 0, 0, 1, 0
0.05330, 0, 0, 1, 1, 0, 0, 1, 1
0.05340, 0, 1, 1, 1, 0, 0, 1, 1
0.05345, 0, 0, 1, 1, 0, 0, 1, 1
0.05350, 0, 1, 1, 1, 0, 0, 1, 1
