Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
0.00019809, 0, 0, 0, 0, 0, 0, 0, 0
0.00021110, 0, 0, 0, 0, 1, 0, 0, 0
0.00021112, 0, 0, 0, 0, 0, 0, 0, 0
0.00021308, 0, 1, 1, 1, 1, 0, 1, 0
0.00021309, 1, 1, 1, 1, 1, 0, 1, 1
0.00021310, 0, 0, 0, 0, 0, 0, 0, 0
0.00021311, 1, 0, 1, 0, 0, 0, 1, 1
0.00021409, 0, 0, 0, 0, 1, 0, 0, 0
0.00021508, 1, 1, 0, 0, 1, 0, 1, 0
0.00021509, 1, 1, 1, 0, 1, 0, 1, 0
0.00021510, 1, 1, 1, 0, 1, 0, 1, 1
0.00021512, 1, 0, 0, 1, 1, 0, 1, 0
0.00021609, 0, 1, 0, 1, 0, 0, 0, 1
0.00021709, 1, 1, 1, 0, 1, 0, 0, 1
0.00021710, 0, 1, 0, 1, 0, 0, 0, 1
0.00021809, 1, 1, 1, 1, 1, 0, 1, 0
0.00021810, 1, 1, 1, 1, 1, 0, 0, 1
0.00021811, 1, 1, 1, 1, 1, 0, 1, 1
0.00021812, 1, 1, 1, 0, 1, 0, 1, 0
0.00021815, 1, 1, 1, 1, 1, 0, 1, 0
0.00021816, 1, 0, 1, 1, 1, 0, 1, 1
0.00021909, 1, 1, 1, 0, 1, 0, 1, 0
0.00022009, 1, 0, 1, 1, 1, 0, 1, 1
0.00022010, 1, 1, 1, 0, 1, 0, 1, 0
0.00022109, 0, 0, 1, 1, 0, 0, 1, 1
0.00022209, 1, 1, 1, 0, 1, 0, 1, 0
0.00022210, 0, 0, 1, 1, 0, 0, 1, 1
0.00022211, 1, 1, 1, 0, 1, 0, 1, 0
0.00022212, 0, 0, 1, 1, 0, 0, 1, 1
0.00022409, 1, 1, 1, 0, 1, 0, 1, 0
0.00022410, 0, 0, 1, 1, 0, 0, 1, 1
0.00022411, 1, 1, 1, 0, 1, 0, 1, 0
0.00022412, 0, 0, 1, 1, 0, 0, 1, 1
0.00022415, 1, 1, 1, 1, 1, 0, 1, 1
0.00022416, 0, 0, 1, 1, 0, 0, 1, 1
0.00022509, 1, 1, 1, 0, 1, 0, 1, 0
0.00022609, 0, 0, 1, 1, 0, 0, 1, 1
0.00022709, 1, 1, 1, 0, 1, 0, 1, 0
0.00022710, 1, 0, 0, 0, 1, 0, 0, 0
0.00022712, 0, 0, 0, 0, 0, 0, 0, 0
0.00022809, 1, 0, 0, 0, 1, 0, 0, 0
0.00022810, 0, 0, 0, 0, 0, 0, 0, 0
0.00022909, 1, 0, 0, 0, 1, 0, 0, 0
0.00022910, 0, 0, 0, 0, 0, 0, 0, 0
0.00023009, 1, 0, 0, 0, 1, 0, 0, 0
0.00023010, 0, 0, 0, 0, 0, 0, 0, 0
0.00023109, 1, 0, 0, 0, 1, 0, 0, 0
0.00023110, 0, 0, 0, 0, 0, 0, 0, 0
0.00023209, 1, 0, 0, 0, 1, 0, 0, 0
0.00023210, 0, 0, 0, 0, 0, 0, 0, 0
0.00023309, 1, 0, 0, 0, 1, 0, 0, 0
0.00023310, 0, 0, 0, 0, 0, 0, 0, 0
0.00023409, 1, 0, 0, 0, 1, 0, 0, 0
0.00023410, 0, 0, 0, 0, 0, 0, 0, 0
0.00023509, 1, 0, 0, 0, 1, 0, 0, 0
0.00023510, 0, 0, 0, 0, 0, 0, 0, 0
0.00023609, 1, 0, 0, 0, 1, 0, 0, 0
0.00023610, 0, 0, 0, 0, 0, 0, 0, 0
0.00023709, 1, 0, 0, 0, 1, 0, 0, 0
0.00023710, 0, 0, 0, 0, 0, 0, 0, 0
0.00023809, 1, 0, 0, 0, 1, 0, 0, 0
0.00023810, 0, 0, 0, 0, 0, 0, 0, 0
0.00023909, 1, 0, 0, 0, 1, 0, 0, 0
0.00023910, 0, 0, 0, 0, 0, 0, 0, 0
0.00024009, 1, 0, 0, 0, 1, 0, 0, 0
0.00024010, 0, 0, 0, 0, 0, 0, 0, 0
0.00024109, 1, 0, 0, 0, 1, 0, 0, 0
0.00024110, 0, 0, 0, 0, 1, 0, 0, 0
0.00024112, 1, 0, 0, 0, 1, 0, 0, 0
0.00024113, 1, 0, 0, 1, 1, 0, 0, 1
0.00024115, 1, 0, 0, 0, 1, 0, 0, 0
0.00024116, 1, 0, 0, 1, 1, 0, 0, 1
0.00024117, 1, 0, 0, 0, 1, 0, 0, 0
0.00024119, 1, 0, 0, 1, 1, 0, 0, 1
